Area,Age,Year at 30 June,Sex,Value
Northland region,0-4 Years,2006,Male,5350
Northland region,0-4 Years,2007,Male,5500
Northland region,0-4 Years,2008,Male,5690
Northland region,0-4 Years,2009,Male,5900
Northland region,0-4 Years,2010,Male,6130
Northland region,0-4 Years,2011,Male,6280
Northland region,0-4 Years,2012,Male,6260
Northland region,0-4 Years,2013,Male,6280
Northland region,0-4 Years,2014,Male,6080
Northland region,0-4 Years,2015,Male,5950
Northland region,0-4 Years,2006,Female,5270
Northland region,0-4 Years,2007,Female,5450
Northland region,0-4 Years,2008,Female,5590
Northland region,0-4 Years,2009,Female,5650
Northland region,0-4 Years,2010,Female,5750
Northland region,0-4 Years,2011,Female,5830
Northland region,0-4 Years,2012,Female,5790
Northland region,0-4 Years,2013,Female,5900
Northland region,0-4 Years,2014,Female,5830
Northland region,0-4 Years,2015,Female,5730
Auckland region,0-4 Years,2006,Male,50910
Auckland region,0-4 Years,2007,Male,52820
Auckland region,0-4 Years,2009,Male,55500
Auckland region,0-4 Years,2008,Male,54530
Auckland region,0-4 Years,2010,Male,56850
Auckland region,0-4 Years,2011,Male,57550
Auckland region,0-4 Years,2012,Male,57680
Auckland region,0-4 Years,2013,Male,56590
Auckland region,0-4 Years,2014,Male,56720
Auckland region,0-4 Years,2015,Male,56870
Waikato region,0-4 Years,2010,Male,15960
Waikato region,0-4 Years,2010,Female,15260
Auckland region,0-4 Years,2011,Female,54310
Auckland region,0-4 Years,2013,Female,53270
Auckland region,0-4 Years,2015,Female,53310
Auckland region,0-4 Years,2014,Female,53300
Auckland region,0-4 Years,2012,Female,54330
Auckland region,0-4 Years,2010,Female,53660
Auckland region,0-4 Years,2008,Female,51270
Auckland region,0-4 Years,2007,Female,49580
Auckland region,0-4 Years,2009,Female,52320
Auckland region,0-4 Years,2006,Female,48040
Waikato region,0-4 Years,2009,Male,15600
Waikato region,0-4 Years,2008,Male,15000
Waikato region,0-4 Years,2006,Male,14320
Waikato region,0-4 Years,2007,Male,14500
Waikato region,0-4 Years,2012,Male,16400
Waikato region,0-4 Years,2011,Male,16310
Waikato region,0-4 Years,2014,Male,16120
Waikato region,0-4 Years,2013,Male,16360
Waikato region,0-4 Years,2015,Male,16050
Bay of Plenty region,0-4 Years,2006,Male,9660
Bay of Plenty region,0-4 Years,2010,Male,10520
Bay of Plenty region,0-4 Years,2009,Male,10410
Bay of Plenty region,0-4 Years,2008,Male,10170
Bay of Plenty region,0-4 Years,2007,Male,9900
Bay of Plenty region,0-4 Years,2012,Male,10490
Bay of Plenty region,0-4 Years,2011,Male,10650
Bay of Plenty region,0-4 Years,2013,Male,10230
Bay of Plenty region,0-4 Years,2015,Male,9960
Bay of Plenty region,0-4 Years,2014,Male,9940
Gisborne region,0-4 Years,2010,Male,2000
Gisborne region,0-4 Years,2009,Male,2000
Gisborne region,0-4 Years,2009,Female,1900
Bay of Plenty region,0-4 Years,2013,Female,9640
Bay of Plenty region,0-4 Years,2015,Female,9590
Gisborne region,0-4 Years,2010,Female,1940
Bay of Plenty region,0-4 Years,2014,Female,9550
Waikato region,0-4 Years,2015,Female,15120
Bay of Plenty region,0-4 Years,2009,Female,9620
Bay of Plenty region,0-4 Years,2007,Female,9250
Bay of Plenty region,0-4 Years,2011,Female,9940
Bay of Plenty region,0-4 Years,2012,Female,9790
Bay of Plenty region,0-4 Years,2008,Female,9530
Bay of Plenty region,0-4 Years,2010,Female,9770
Bay of Plenty region,0-4 Years,2006,Female,9090
Waikato region,0-4 Years,2011,Female,15380
Waikato region,0-4 Years,2013,Female,15380
Waikato region,0-4 Years,2014,Female,15220
Waikato region,0-4 Years,2012,Female,15420
Waikato region,0-4 Years,2009,Female,14940
Waikato region,0-4 Years,2007,Female,14320
Waikato region,0-4 Years,2006,Female,14030
Waikato region,0-4 Years,2008,Female,14610
Gisborne region,0-4 Years,2008,Male,1960
Gisborne region,0-4 Years,2007,Male,1950
Gisborne region,0-4 Years,2012,Male,1990
Gisborne region,0-4 Years,2011,Male,1990
Gisborne region,0-4 Years,2006,Male,1920
Hawke's Bay region,0-4 Years,2006,Male,5480
Hawke's Bay region,0-4 Years,2013,Male,5850
Hawke's Bay region,0-4 Years,2011,Male,5930
Hawke's Bay region,0-4 Years,2012,Male,5860
Hawke's Bay region,0-4 Years,2007,Male,5590
Hawke's Bay region,0-4 Years,2008,Male,5690
Hawke's Bay region,0-4 Years,2009,Male,5710
Hawke's Bay region,0-4 Years,2010,Male,5900
Taranaki region,0-4 Years,2010,Male,4130
Taranaki region,0-4 Years,2011,Male,4270
Taranaki region,0-4 Years,2008,Male,3840
Taranaki region,0-4 Years,2009,Male,3990
Taranaki region,0-4 Years,2007,Male,3750
Taranaki region,0-4 Years,2012,Male,4260
Taranaki region,0-4 Years,2013,Male,4270
Taranaki region,0-4 Years,2006,Male,3670
Gisborne region,0-4 Years,2014,Male,1910
Gisborne region,0-4 Years,2013,Male,1960
Gisborne region,0-4 Years,2015,Male,1880
Hawke's Bay region,0-4 Years,2015,Male,5630
Hawke's Bay region,0-4 Years,2014,Male,5780
Taranaki region,0-4 Years,2014,Male,4210
Taranaki region,0-4 Years,2015,Male,4120
Manawatu-Wanganui region,0-4 Years,2006,Male,7800
Manawatu-Wanganui region,0-4 Years,2009,Male,8190
Manawatu-Wanganui region,0-4 Years,2011,Male,8410
Manawatu-Wanganui region,0-4 Years,2007,Male,7880
Manawatu-Wanganui region,0-4 Years,2008,Male,8010
Manawatu-Wanganui region,0-4 Years,2010,Male,8380
Manawatu-Wanganui region,0-4 Years,2012,Male,8340
Wellington region,0-4 Years,2006,Male,16090
Wellington region,0-4 Years,2007,Male,16350
Wellington region,0-4 Years,2011,Male,17190
Wellington region,0-4 Years,2009,Male,16770
Wellington region,0-4 Years,2008,Male,16520
Wellington region,0-4 Years,2013,Male,16700
Wellington region,0-4 Years,2010,Male,17060
Wellington region,0-4 Years,2012,Male,16950
Wellington region,0-4 Years,2012,Female,16480
Wellington region,0-4 Years,2009,Female,16300
Wellington region,0-4 Years,2010,Female,16580
Wellington region,0-4 Years,2008,Female,16030
Wellington region,0-4 Years,2011,Female,16650
Wellington region,0-4 Years,2013,Female,16070
Manawatu-Wanganui region,0-4 Years,2007,Female,7540
Wellington region,0-4 Years,2007,Female,15730
Wellington region,0-4 Years,2006,Female,15540
